GameRound, P1_choice, P1_score, P2_choice, P2_score, GameValue
246,1,121,None,370,241
246,None,121,1,371,242
247,0,121,None,372,242
247,None,121,0,373,242
248,1,122,None,373,243
248,None,122,1,374,244
249,1,123,None,374,245
249,None,123,1,375,246
250,1,124,None,375,247
250,None,124,1,376,248
251,1,125,None,376,249
251,None,125,1,377,250
252,1,126,None,377,251
252,None,126,1,378,252
253,1,127,None,378,253
253,None,127,1,379,254
254,0,127,None,380,254
254,None,127,0,381,254
255,1,128,None,381,255
255,None,128,1,382,256
256,0,128,None,383,256
256,None,128,0,384,256
257,0,128,None,385,256
257,None,128,0,386,256
258,1,129,None,386,257
258,None,129,1,387,258
259,1,130,None,387,259
259,None,130,1,388,260
260,0,130,None,389,260
260,None,130,0,390,260
261,0,130,None,391,260
261,None,130,0,392,260
262,1,131,None,392,261
262,None,131,1,393,262
263,0,131,None,394,262
263,None,131,0,395,262
264,0,131,None,396,262
264,None,131,0,397,262
265,0,131,None,398,262
265,None,131,0,399,262
266,0,131,None,400,262
266,None,131,0,401,262
267,0,131,None,402,262
267,None,131,0,403,262
268,1,132,None,403,263
268,None,132,1,404,264
269,1,133,None,404,265
269,None,133,1,405,266
270,1,134,None,405,267
270,None,134,1,406,268
271,1,135,None,406,269
271,None,135,1,407,270
272,0,135,None,408,270
272,None,135,0,409,270
273,0,135,None,410,270
273,None,135,0,411,270
274,1,136,None,411,271
274,None,136,1,412,272
275,1,137,None,412,273
275,None,137,1,413,274
276,1,138,None,413,275
276,None,138,1,414,276
277,1,139,None,414,277
277,None,139,1,415,278
278,0,139,None,416,278
278,None,139,0,417,278
279,1,140,None,417,279
279,None,140,1,418,280
280,0,140,None,419,280
280,None,140,0,420,280
281,0,140,None,421,280
281,None,140,0,422,280
282,0,140,None,423,280
282,None,140,0,424,280
283,1,141,None,424,281
283,None,141,1,425,282
284,1,142,None,425,283
284,None,142,1,426,284
285,0,142,None,427,284
285,None,142,0,428,284
286,1,143,None,428,285
286,None,143,1,429,286
287,1,144,None,429,287
287,None,144,1,430,288
288,0,144,None,431,288
288,None,144,0,432,288
289,0,144,None,433,288
289,None,144,0,434,288
290,1,145,None,434,289
290,None,145,1,435,290
291,0,145,None,436,290
291,None,145,0,437,290
292,1,146,None,437,291
292,None,146,1,438,292
293,1,147,None,438,293
293,None,147,1,439,294
294,0,147,None,440,294
294,None,147,0,441,294
295,0,147,None,442,294
295,None,147,0,443,294
296,0,147,None,444,294
296,None,147,0,445,294
297,1,148,None,445,295
297,None,148,1,446,296
298,1,149,None,446,297
298,None,149,1,447,298
299,1,150,None,447,299
299,None,150,1,448,300
300,0,150,None,449,300
300,None,150,0,450,300
301,0,150,None,451,300
301,None,150,0,452,300
302,1,151,None,452,301
302,None,151,1,453,302
303,0,151,None,454,302
303,None,151,0,455,302
304,0,151,None,456,302
304,None,151,0,457,302
305,0,151,None,458,302
305,None,151,0,459,302
306,0,151,None,460,302
306,None,151,0,461,302
307,0,151,None,462,302
307,None,151,0,463,302
308,1,152,None,463,303
308,None,152,1,464,304
309,1,153,None,464,305
309,None,153,1,465,306
310,0,153,None,466,306
310,None,153,0,467,306
311,1,154,None,467,307
311,None,154,1,468,308
312,0,154,None,469,308
312,None,154,0,470,308
313,0,154,None,471,308
313,None,154,0,472,308
314,1,155,None,472,309
314,None,155,1,473,310
315,1,156,None,473,311
315,None,156,1,474,312
316,0,156,None,475,312
316,None,156,0,476,312
317,0,156,None,477,312
317,None,156,0,478,312
318,1,157,None,478,313
318,None,157,1,479,314
319,0,157,None,480,314
319,None,157,0,481,314
320,0,157,None,482,314
320,None,157,0,483,314
321,0,157,None,484,314
321,None,157,0,485,314
322,1,158,None,485,315
322,None,158,1,486,316
323,1,159,None,486,317
323,None,159,1,487,318
324,1,160,None,487,319
324,None,160,1,488,320
325,1,161,None,488,321
325,None,161,1,489,322
326,1,162,None,489,323
326,None,162,1,490,324
327,0,162,None,491,324
327,None,162,0,492,324
328,1,163,None,492,325
328,None,163,1,493,326
329,0,163,None,494,326
329,None,163,0,495,326
330,1,164,None,495,327
330,None,164,1,496,328
331,0,164,None,497,328
331,None,164,0,498,328
332,1,165,None,498,329
332,None,165,1,499,330
333,1,166,None,499,331
333,None,166,1,500,332
334,0,166,None,501,332
334,None,166,0,502,332
335,1,167,None,502,333
335,None,167,1,503,334
336,1,168,None,503,335
336,None,168,1,504,336
337,1,169,None,504,337
337,None,169,1,505,338
338,1,170,None,505,339
338,None,170,1,506,340
339,1,171,None,506,341
339,None,171,1,507,342
340,1,172,None,507,343
340,None,172,1,508,344
341,0,172,None,509,344
341,None,172,0,510,344
342,0,172,None,511,344
342,None,172,0,512,344
343,1,173,None,512,345
343,None,173,1,513,346
344,0,173,None,514,346
344,None,173,0,515,346
345,0,173,None,516,346
345,None,173,0,517,346
346,1,174,None,517,347
346,None,174,1,518,348
347,1,175,None,518,349
347,None,175,1,519,350
348,0,175,None,520,350
348,None,175,0,521,350
349,0,175,None,522,350
349,None,175,0,523,350
350,0,175,None,524,350
350,None,175,0,525,350
351,0,175,None,526,350
351,None,175,0,527,350
352,1,176,None,527,351
352,None,176,1,528,352
353,1,177,None,528,353
353,None,177,1,529,354
354,0,177,None,530,354
354,None,177,0,531,354
355,0,177,None,532,354
355,None,177,0,533,354
356,1,178,None,533,355
356,None,178,1,534,356
357,0,178,None,535,356
357,None,178,0,536,356
358,0,178,None,537,356
358,None,178,0,538,356
359,0,178,None,539,356
359,None,178,0,540,356
360,1,179,None,540,357
360,None,179,1,541,358
361,0,179,None,542,358
361,None,179,0,543,358
362,1,180,None,543,359
362,None,180,1,544,360
363,1,181,None,544,361
363,None,181,1,545,362
364,0,181,None,546,362
364,None,181,0,547,362
365,0,181,None,548,362
365,None,181,0,549,362
366,1,182,None,549,363
366,None,182,1,550,364
367,0,182,None,551,364
367,None,182,0,552,364
368,1,183,None,552,365
368,None,183,1,553,366
369,1,184,None,553,367
369,None,184,1,554,368
370,1,185,None,554,369
370,None,185,1,555,370
371,1,186,None,555,371
371,None,186,1,556,372
372,0,186,None,557,372
372,None,186,0,558,372
373,1,187,None,558,373
373,None,187,1,559,374
374,1,188,None,559,375
374,None,188,1,560,376
375,0,188,None,561,376
375,None,188,0,562,376
376,1,189,None,562,377
376,None,189,1,563,378
377,1,190,None,563,379
377,None,190,1,564,380
378,1,191,None,564,381
378,None,191,1,565,382
379,1,192,None,565,383
379,None,192,1,566,384
380,1,193,None,566,385
380,None,193,1,567,386
381,1,194,None,567,387
381,None,194,1,568,388
382,1,195,None,568,389
382,None,195,1,569,390
383,0,195,None,570,390
383,None,195,0,571,390
384,0,195,None,572,390
384,None,195,0,573,390
385,0,195,None,574,390
385,None,195,0,575,390
386,1,196,None,575,391
386,None,196,1,576,392
387,0,196,None,577,392
387,None,196,0,578,392
388,1,197,None,578,393
388,None,197,1,579,394
389,1,198,None,579,395
389,None,198,1,580,396
390,0,198,None,581,396
390,None,198,0,582,396
391,1,199,None,582,397
391,None,199,1,583,398
392,1,200,None,583,399
392,None,200,1,584,400
393,1,201,None,584,401
393,None,201,1,585,402
394,0,201,None,586,402
394,None,201,0,587,402
395,0,201,None,588,402
395,None,201,0,589,402
396,1,202,None,589,403
396,None,202,1,590,404
397,1,203,None,590,405
397,None,203,1,591,406
398,1,204,None,591,407
398,None,204,1,592,408
399,0,204,None,593,408
399,None,204,0,594,408
400,0,204,None,595,408
400,None,204,0,596,408
401,0,204,None,597,408
401,None,204,0,598,408
402,1,205,None,598,409
402,None,205,1,599,410
403,1,206,None,599,411
403,None,206,1,600,412
404,1,207,None,600,413
404,None,207,1,601,414
405,0,207,None,602,414
405,None,207,0,603,414
406,1,208,None,603,415
406,None,208,1,604,416
407,1,209,None,604,417
407,None,209,1,605,418
408,0,209,None,606,418
408,None,209,0,607,418
409,1,210,None,607,419
409,None,210,1,608,420
410,0,210,None,609,420
410,None,210,0,610,420
411,0,210,None,611,420
411,None,210,0,612,420
412,1,211,None,612,421
412,None,211,1,613,422
413,1,212,None,613,423
413,None,212,1,614,424
414,1,213,None,614,425
414,None,213,1,615,426
415,0,213,None,616,426
415,None,213,0,617,426
416,0,213,None,618,426
416,None,213,0,619,426
417,1,214,None,619,427
417,None,214,1,620,428
418,0,214,None,621,428
418,None,214,0,622,428
419,1,215,None,622,429
419,None,215,1,623,430
420,1,216,None,623,431
420,None,216,1,624,432
421,0,216,None,625,432
421,None,216,0,626,432
422,0,216,None,627,432
422,None,216,0,628,432
423,0,216,None,629,432
423,None,216,0,630,432
424,0,216,None,631,432
424,None,216,0,632,432
425,1,217,None,632,433
425,None,217,1,633,434
426,1,218,None,633,435
426,None,218,1,634,436
427,1,219,None,634,437
427,None,219,1,635,438
428,0,219,None,636,438
428,None,219,0,637,438
429,0,219,None,638,438
429,None,219,0,639,438
430,0,219,None,640,438
430,None,219,0,641,438
431,1,220,None,641,439
431,None,220,1,642,440
432,1,221,None,642,441
432,None,221,1,643,442
433,0,221,None,644,442
433,None,221,0,645,442
434,1,222,None,645,443
434,None,222,1,646,444
435,1,223,None,646,445
435,None,223,1,647,446
436,0,223,None,648,446
436,None,223,0,649,446
437,1,224,None,649,447
437,None,224,1,650,448
438,1,225,None,650,449
438,None,225,1,651,450
439,1,226,None,651,451
439,None,226,1,652,452
440,1,227,None,652,453
440,None,227,1,653,454
441,0,227,None,654,454
441,None,227,0,655,454
442,0,227,None,656,454
442,None,227,0,657,454
443,0,227,None,658,454
443,None,227,0,659,454
444,1,228,None,659,455
444,None,228,1,660,456
445,1,229,None,660,457
445,None,229,1,661,458
446,1,230,None,661,459
446,None,230,1,662,460
447,1,231,None,662,461
447,None,231,1,663,462
448,1,232,None,663,463
448,None,232,1,664,464
449,0,232,None,665,464
449,None,232,0,666,464
450,1,233,None,666,465
450,None,233,1,667,466
451,1,234,None,667,467
451,None,234,1,668,468
452,1,235,None,668,469
452,None,235,1,669,470
453,0,235,None,670,470
453,None,235,0,671,470
454,0,235,None,672,470
454,None,235,0,673,470
455,0,235,None,674,470
455,None,235,0,675,470
456,0,235,None,676,470
456,None,235,0,677,470
457,0,235,None,678,470
457,None,235,0,679,470
458,0,235,None,680,470
458,None,235,0,681,470
459,0,235,None,682,470
459,None,235,0,683,470
460,0,235,None,684,470
460,None,235,0,685,470
461,1,236,None,685,471
461,None,236,1,686,472
462,1,237,None,686,473
462,None,237,1,687,474
463,0,237,None,688,474
463,None,237,0,689,474
464,1,238,None,689,475
464,None,238,1,690,476
465,0,238,None,691,476
