stock_name,symbol,start_date,end_date,baostock_available,comment,
股票名称,股票代码,起始日期,截止日期,baostock数据可用？,备注,后缀上海=SS，深圳=SZ
,399238.SZ,2014/1/1,2025/4/30,N,,
,399239.SZ,2014/1/1,2025/4/30,N,,
,399240.SZ,2014/1/1,2025/4/30,N,,
,399241.SZ,2014/1/1,2025/4/30,N,,
,399242.SZ,2014/1/1,2025/4/30,N,,
,399243.SZ,2014/1/1,2025/4/30,N,,
,399244.SZ,2014/1/1,2025/4/30,N,,
,399245.SZ,2014/1/1,2025/4/30,N,,
,399246.SZ,2014/1/1,2025/4/30,N,,
,399247.SZ,2014/1/1,2025/4/30,N,,
,399248.SZ,2014/1/1,2025/4/30,N,,
,399249.SZ,2014/1/1,2025/4/30,N,,
,399250.SZ,2014/1/1,2025/4/30,N,,
,399251.SZ,2014/1/1,2025/4/30,N,,
,399252.SZ,2014/1/1,2025/4/30,N,,
,399253.SZ,2014/1/1,2025/4/30,N,,
,399254.SZ,2014/1/1,2025/4/30,N,,
,399255.SZ,2014/1/1,2025/4/30,N,,
,399256.SZ,2014/1/1,2025/4/30,N,,
,399257.SZ,2014/1/1,2025/4/30,N,,
,399258.SZ,2014/1/1,2025/4/30,N,,
,399259.SZ,2014/1/1,2025/4/30,N,,
,399260.SZ,2014/1/1,2025/4/30,N,,
,399261.SZ,2014/1/1,2025/4/30,N,,
,399262.SZ,2014/1/1,2025/4/30,N,,
,399263.SZ,2014/1/1,2025/4/30,N,,
,399264.SZ,2014/1/1,2025/4/30,N,,
,399265.SZ,2014/1/1,2025/4/30,N,,
,399266.SZ,2014/1/1,2025/4/30,N,,
,399267.SZ,2014/1/1,2025/4/30,N,,
,399268.SZ,2014/1/1,2025/4/30,N,,
,399269.SZ,2014/1/1,2025/4/30,N,,
,399270.SZ,2014/1/1,2025/4/30,N,,
,399271.SZ,2014/1/1,2025/4/30,N,,
,399272.SZ,2014/1/1,2025/4/30,N,,
,399273.SZ,2014/1/1,2025/4/30,N,,
,399274.SZ,2014/1/1,2025/4/30,N,,
,399275.SZ,2014/1/1,2025/4/30,N,,
,399276.SZ,2014/1/1,2025/4/30,N,,
,399277.SZ,2014/1/1,2025/4/30,N,,
,399278.SZ,2014/1/1,2025/4/30,N,,
,399279.SZ,2014/1/1,2025/4/30,N,,
,399280.SZ,2014/1/1,2025/4/30,N,,
,399281.SZ,2014/1/1,2025/4/30,N,,
,399282.SZ,2014/1/1,2025/4/30,N,,
,399283.SZ,2014/1/1,2025/4/30,N,,
,399284.SZ,2014/1/1,2025/4/30,N,,
,399285.SZ,2014/1/1,2025/4/30,N,,
,399286.SZ,2014/1/1,2025/4/30,N,,
,399287.SZ,2014/1/1,2025/4/30,N,,
,399288.SZ,2014/1/1,2025/4/30,N,,
,399289.SZ,2014/1/1,2025/4/30,N,,
,399290.SZ,2014/1/1,2025/4/30,N,,
,399291.SZ,2014/1/1,2025/4/30,N,,
,399292.SZ,2014/1/1,2025/4/30,N,,
,399293.SZ,2014/1/1,2025/4/30,N,,
,399294.SZ,2014/1/1,2025/4/30,N,,
,399295.SZ,2014/1/1,2025/4/30,N,,
,399296.SZ,2014/1/1,2025/4/30,N,,
,399297.SZ,2014/1/1,2025/4/30,N,,
,399298.SZ,2014/1/1,2025/4/30,N,,
,399299.SZ,2014/1/1,2025/4/30,N,,
,399300.SZ,2014/1/1,2025/4/30,N,,
,399301.SZ,2014/1/1,2025/4/30,N,,
,399302.SZ,2014/1/1,2025/4/30,N,,
,399303.SZ,2014/1/1,2025/4/30,N,,
,399304.SZ,2014/1/1,2025/4/30,N,,
,399305.SZ,2014/1/1,2025/4/30,N,,
,399306.SZ,2014/1/1,2025/4/30,N,,
,399307.SZ,2014/1/1,2025/4/30,N,,
,399308.SZ,2014/1/1,2025/4/30,N,,
,399309.SZ,2014/1/1,2025/4/30,N,,
,399310.SZ,2014/1/1,2025/4/30,N,,
,399311.SZ,2014/1/1,2025/4/30,N,,
,399312.SZ,2014/1/1,2025/4/30,N,,
,399313.SZ,2014/1/1,2025/4/30,N,,
,399314.SZ,2014/1/1,2025/4/30,N,,
,399315.SZ,2014/1/1,2025/4/30,N,,
,399316.SZ,2014/1/1,2025/4/30,N,,
,399317.SZ,2014/1/1,2025/4/30,N,,
,399318.SZ,2014/1/1,2025/4/30,N,,
,399319.SZ,2014/1/1,2025/4/30,N,,
,399320.SZ,2014/1/1,2025/4/30,N,,
,399321.SZ,2014/1/1,2025/4/30,N,,
,399322.SZ,2014/1/1,2025/4/30,N,,
,399323.SZ,2014/1/1,2025/4/30,N,,
,399324.SZ,2014/1/1,2025/4/30,N,,
,399325.SZ,2014/1/1,2025/4/30,N,,
,399326.SZ,2014/1/1,2025/4/30,N,,
,399327.SZ,2014/1/1,2025/4/30,N,,
,399328.SZ,2014/1/1,2025/4/30,N,,
,399329.SZ,2014/1/1,2025/4/30,N,,
,399330.SZ,2014/1/1,2025/4/30,N,,
,399331.SZ,2014/1/1,2025/4/30,N,,
,399332.SZ,2014/1/1,2025/4/30,N,,
,399333.SZ,2014/1/1,2025/4/30,N,,
,399334.SZ,2014/1/1,2025/4/30,N,,
,399335.SZ,2014/1/1,2025/4/30,N,,
,399336.SZ,2014/1/1,2025/4/30,N,,
,399337.SZ,2014/1/1,2025/4/30,N,,
,399338.SZ,2014/1/1,2025/4/30,N,,
,399339.SZ,2014/1/1,2025/4/30,N,,
,399340.SZ,2014/1/1,2025/4/30,N,,
,399341.SZ,2014/1/1,2025/4/30,N,,
,399342.SZ,2014/1/1,2025/4/30,N,,
,399343.SZ,2014/1/1,2025/4/30,N,,
,399344.SZ,2014/1/1,2025/4/30,N,,
,399345.SZ,2014/1/1,2025/4/30,N,,
,399346.SZ,2014/1/1,2025/4/30,N,,
,399347.SZ,2014/1/1,2025/4/30,N,,
,399348.SZ,2014/1/1,2025/4/30,N,,
,399349.SZ,2014/1/1,2025/4/30,N,,
,399350.SZ,2014/1/1,2025/4/30,N,,
,399351.SZ,2014/1/1,2025/4/30,N,,
,399352.SZ,2014/1/1,2025/4/30,N,,
,399353.SZ,2014/1/1,2025/4/30,N,,
,399354.SZ,2014/1/1,2025/4/30,N,,
,399355.SZ,2014/1/1,2025/4/30,N,,
,399356.SZ,2014/1/1,2025/4/30,N,,
,399357.SZ,2014/1/1,2025/4/30,N,,
,399358.SZ,2014/1/1,2025/4/30,N,,
,399359.SZ,2014/1/1,2025/4/30,N,,
,399360.SZ,2014/1/1,2025/4/30,N,,
,399361.SZ,2014/1/1,2025/4/30,N,,
,399362.SZ,2014/1/1,2025/4/30,N,,
,399363.SZ,2014/1/1,2025/4/30,N,,
,399364.SZ,2014/1/1,2025/4/30,N,,
,399365.SZ,2014/1/1,2025/4/30,N,,
,399366.SZ,2014/1/1,2025/4/30,N,,
,399367.SZ,2014/1/1,2025/4/30,N,,
,399368.SZ,2014/1/1,2025/4/30,N,,
,399369.SZ,2014/1/1,2025/4/30,N,,
,399370.SZ,2014/1/1,2025/4/30,N,,
,399371.SZ,2014/1/1,2025/4/30,N,,
,399372.SZ,2014/1/1,2025/4/30,N,,
,399373.SZ,2014/1/1,2025/4/30,N,,
,399374.SZ,2014/1/1,2025/4/30,N,,
,399375.SZ,2014/1/1,2025/4/30,N,,
,399376.SZ,2014/1/1,2025/4/30,N,,
,399377.SZ,2014/1/1,2025/4/30,N,,
,399378.SZ,2014/1/1,2025/4/30,N,,
,399379.SZ,2014/1/1,2025/4/30,N,,
,399380.SZ,2014/1/1,2025/4/30,N,,
,399381.SZ,2014/1/1,2025/4/30,N,,
,399382.SZ,2014/1/1,2025/4/30,N,,
,399383.SZ,2014/1/1,2025/4/30,N,,
,399384.SZ,2014/1/1,2025/4/30,N,,
,399385.SZ,2014/1/1,2025/4/30,N,,
,399386.SZ,2014/1/1,2025/4/30,N,,
,399387.SZ,2014/1/1,2025/4/30,N,,
,399388.SZ,2014/1/1,2025/4/30,N,,
,399389.SZ,2014/1/1,2025/4/30,N,,
,399390.SZ,2014/1/1,2025/4/30,N,,
,399391.SZ,2014/1/1,2025/4/30,N,,
,399392.SZ,2014/1/1,2025/4/30,N,,
,399393.SZ,2014/1/1,2025/4/30,N,,
,399394.SZ,2014/1/1,2025/4/30,N,,
,399395.SZ,2014/1/1,2025/4/30,N,,
,399396.SZ,2014/1/1,2025/4/30,N,,
,399397.SZ,2014/1/1,2025/4/30,N,,
,399398.SZ,2014/1/1,2025/4/30,N,,
,399399.SZ,2014/1/1,2025/4/30,N,,
,399400.SZ,2014/1/1,2025/4/30,N,,
,399401.SZ,2014/1/1,2025/4/30,N,,
,399402.SZ,2014/1/1,2025/4/30,N,,
,399403.SZ,2014/1/1,2025/4/30,N,,
,399404.SZ,2014/1/1,2025/4/30,N,,
,399405.SZ,2014/1/1,2025/4/30,N,,
,399406.SZ,2014/1/1,2025/4/30,N,,
,399407.SZ,2014/1/1,2025/4/30,N,,
,399408.SZ,2014/1/1,2025/4/30,N,,
,399409.SZ,2014/1/1,2025/4/30,N,,
,399410.SZ,2014/1/1,2025/4/30,N,,
,399411.SZ,2014/1/1,2025/4/30,N,,
,399412.SZ,2014/1/1,2025/4/30,N,,
,399413.SZ,2014/1/1,2025/4/30,N,,
,399414.SZ,2014/1/1,2025/4/30,N,,
,399415.SZ,2014/1/1,2025/4/30,N,,
,399416.SZ,2014/1/1,2025/4/30,N,,
,399417.SZ,2014/1/1,2025/4/30,N,,
,399418.SZ,2014/1/1,2025/4/30,N,,
,399419.SZ,2014/1/1,2025/4/30,N,,
,399420.SZ,2014/1/1,2025/4/30,N,,
,399421.SZ,2014/1/1,2025/4/30,N,,
,399422.SZ,2014/1/1,2025/4/30,N,,
,399423.SZ,2014/1/1,2025/4/30,N,,
,399424.SZ,2014/1/1,2025/4/30,N,,
,399425.SZ,2014/1/1,2025/4/30,N,,
,399426.SZ,2014/1/1,2025/4/30,N,,
,399427.SZ,2014/1/1,2025/4/30,N,,
,399428.SZ,2014/1/1,2025/4/30,N,,
,399429.SZ,2014/1/1,2025/4/30,N,,
,399430.SZ,2014/1/1,2025/4/30,N,,
,399431.SZ,2014/1/1,2025/4/30,N,,
,399432.SZ,2014/1/1,2025/4/30,N,,
,399433.SZ,2014/1/1,2025/4/30,N,,
,399434.SZ,2014/1/1,2025/4/30,N,,
,399435.SZ,2014/1/1,2025/4/30,N,,
,399436.SZ,2014/1/1,2025/4/30,N,,
,399437.SZ,2014/1/1,2025/4/30,N,,
,399438.SZ,2014/1/1,2025/4/30,N,,
,399439.SZ,2014/1/1,2025/4/30,N,,
,399440.SZ,2014/1/1,2025/4/30,N,,
,399441.SZ,2014/1/1,2025/4/30,N,,
,399442.SZ,2014/1/1,2025/4/30,N,,
,399443.SZ,2014/1/1,2025/4/30,N,,
,399444.SZ,2014/1/1,2025/4/30,N,,
,399445.SZ,2014/1/1,2025/4/30,N,,
,399446.SZ,2014/1/1,2025/4/30,N,,
,399447.SZ,2014/1/1,2025/4/30,N,,
,399448.SZ,2014/1/1,2025/4/30,N,,
,399449.SZ,2014/1/1,2025/4/30,N,,
,399450.SZ,2014/1/1,2025/4/30,N,,
,399451.SZ,2014/1/1,2025/4/30,N,,
,399452.SZ,2014/1/1,2025/4/30,N,,
,399453.SZ,2014/1/1,2025/4/30,N,,
,399454.SZ,2014/1/1,2025/4/30,N,,
,399455.SZ,2014/1/1,2025/4/30,N,,
,399456.SZ,2014/1/1,2025/4/30,N,,
,399457.SZ,2014/1/1,2025/4/30,N,,
,399458.SZ,2014/1/1,2025/4/30,N,,
,399459.SZ,2014/1/1,2025/4/30,N,,
,399460.SZ,2014/1/1,2025/4/30,N,,
,399461.SZ,2014/1/1,2025/4/30,N,,
,399462.SZ,2014/1/1,2025/4/30,N,,
,399463.SZ,2014/1/1,2025/4/30,N,,
,399464.SZ,2014/1/1,2025/4/30,N,,
,399465.SZ,2014/1/1,2025/4/30,N,,
,399466.SZ,2014/1/1,2025/4/30,N,,
,399467.SZ,2014/1/1,2025/4/30,N,,
,399468.SZ,2014/1/1,2025/4/30,N,,
,399469.SZ,2014/1/1,2025/4/30,N,,
,399470.SZ,2014/1/1,2025/4/30,N,,
,399471.SZ,2014/1/1,2025/4/30,N,,
,399472.SZ,2014/1/1,2025/4/30,N,,
,399473.SZ,2014/1/1,2025/4/30,N,,
,399474.SZ,2014/1/1,2025/4/30,N,,
,399475.SZ,2014/1/1,2025/4/30,N,,
,399476.SZ,2014/1/1,2025/4/30,N,,
,399477.SZ,2014/1/1,2025/4/30,N,,
,399478.SZ,2014/1/1,2025/4/30,N,,
,399479.SZ,2014/1/1,2025/4/30,N,,
,399480.SZ,2014/1/1,2025/4/30,N,,
,399481.SZ,2014/1/1,2025/4/30,N,,
,399482.SZ,2014/1/1,2025/4/30,N,,
,399483.SZ,2014/1/1,2025/4/30,N,,
,399484.SZ,2014/1/1,2025/4/30,N,,
,399485.SZ,2014/1/1,2025/4/30,N,,
,399486.SZ,2014/1/1,2025/4/30,N,,
,399487.SZ,2014/1/1,2025/4/30,N,,
,399488.SZ,2014/1/1,2025/4/30,N,,
,399489.SZ,2014/1/1,2025/4/30,N,,
,399490.SZ,2014/1/1,2025/4/30,N,,
,399491.SZ,2014/1/1,2025/4/30,N,,
,399492.SZ,2014/1/1,2025/4/30,N,,
,399493.SZ,2014/1/1,2025/4/30,N,,
,399494.SZ,2014/1/1,2025/4/30,N,,
,399495.SZ,2014/1/1,2025/4/30,N,,
,399496.SZ,2014/1/1,2025/4/30,N,,
,399497.SZ,2014/1/1,2025/4/30,N,,
,399498.SZ,2014/1/1,2025/4/30,N,,
,399499.SZ,2014/1/1,2025/4/30,N,,
,399500.SZ,2014/1/1,2025/4/30,N,,
,399501.SZ,2014/1/1,2025/4/30,N,,
,399502.SZ,2014/1/1,2025/4/30,N,,
,399503.SZ,2014/1/1,2025/4/30,N,,
,399504.SZ,2014/1/1,2025/4/30,N,,
,399505.SZ,2014/1/1,2025/4/30,N,,
,399506.SZ,2014/1/1,2025/4/30,N,,
,399507.SZ,2014/1/1,2025/4/30,N,,
,399508.SZ,2014/1/1,2025/4/30,N,,
