date,code,open,high,low,close,volume,amount,turn,pctChg,Open,High,Low,Close,RowIndex
2011-11-03,sh.000001,2510.842,2535.24,2507.297,2508.09,13657632500,136305609736.0,0.007669,0.159026,2510.842,2535.24,2507.297,2508.09,444
2011-11-04,sh.000001,2525.244,2536.779,2512.904,2528.294,10187367500,99981183331.0,0.005721,0.805547,2525.244,2536.779,2512.904,2528.294,445
2011-11-07,sh.000001,2518.898,2536.18,2507.615,2509.799,7886717400,78893506771.0,0.004428,-0.731516,2518.898,2536.18,2507.615,2509.799,446
2011-11-08,sh.000001,2514.259,2524.82,2500.02,2503.836,7867265600,76914038706.0,0.004417,-0.237594,2514.259,2524.82,2500.02,2503.836,447
2011-11-09,sh.000001,2512.587,2527.703,2489.025,2524.919,7820857200,78141603240.0,0.004391,0.842028,2512.587,2527.703,2489.025,2524.919,448
2011-11-10,sh.000001,2498.594,2507.452,2478.139,2479.536,8711108800,85463858302.0,0.004889,-1.797407,2498.594,2507.452,2478.139,2479.536,449
2011-11-11,sh.000001,2483.957,2496.527,2472.761,2481.084,6613766800,65005133543.0,0.003711,0.062435,2483.957,2496.527,2472.761,2481.084,450
2011-11-14,sh.000001,2498.672,2529.632,2496.335,2528.714,8122981200,82523780186.0,0.004557,1.919731,2498.672,2529.632,2496.335,2528.714,451
2011-11-15,sh.000001,2525.948,2534.059,2518.703,2529.761,7922775000,80497345503.0,0.004445,0.041399,2525.948,2534.059,2518.703,2529.761,452
2011-11-16,sh.000001,2529.073,2529.458,2456.856,2466.959,9338210900,92396963052.0,0.005239,-2.482527,2529.073,2529.458,2456.856,2466.959,453
2011-11-17,sh.000001,2467.704,2482.528,2459.165,2463.046,6641428500,65902701975.0,0.003726,-0.15862,2467.704,2482.528,2459.165,2463.046,454
2011-11-18,sh.000001,2448.387,2448.51,2411.042,2416.562,7218080700,70566565864.0,0.004049,-1.887252,2448.387,2448.51,2411.042,2416.562,455
2011-11-21,sh.000001,2416.732,2419.244,2396.087,2415.13,5017036600,49511107897.0,0.002813,-0.059263,2416.732,2419.244,2396.087,2415.13,456
2011-11-22,sh.000001,2400.984,2414.85,2387.826,2412.625,5144323300,50689583452.0,0.002885,-0.103716,2400.984,2414.85,2387.826,2412.625,457
2011-11-23,sh.000001,2415.197,2418.56,2390.654,2395.065,5054785000,50043359840.0,0.002834,-0.72784,2415.197,2418.56,2390.654,2395.065,458
2011-11-24,sh.000001,2379.146,2409.719,2370.695,2397.554,5215415000,51411098473.0,0.002924,0.103923,2379.146,2409.719,2370.695,2397.554,459
2011-11-25,sh.000001,2393.327,2403.942,2372.622,2380.224,4536255200,46246206878.0,0.002544,-0.722813,2393.327,2403.942,2372.622,2380.224,460
2011-11-28,sh.000001,2383.893,2396.827,2372.156,2383.034,4606466600,46414831572.0,0.002583,0.118048,2383.893,2396.827,2372.156,2383.034,461
2011-11-29,sh.000001,2398.994,2413.326,2388.202,2412.393,5512319000,57068884953.0,0.003091,1.232006,2398.994,2413.326,2388.202,2412.393,462
2011-11-30,sh.000001,2406.329,2407.326,2319.44,2333.414,7661110400,72215263538.0,0.004295,-3.273886,2406.329,2407.326,2319.44,2333.414,463
2011-12-01,sh.000001,2392.485,2423.559,2376.916,2386.86,9865004600,95200516876.0,0.005531,2.290466,2392.485,2423.559,2376.916,2386.86,464
2011-12-02,sh.000001,2374.899,2378.299,2344.846,2360.664,5986884500,57320156584.0,0.003357,-1.097511,2374.899,2378.299,2344.846,2360.664,465
2011-12-05,sh.000001,2363.111,2363.127,2327.61,2333.229,5221496900,48641215750.0,0.002915,-1.162175,2363.111,2363.127,2327.61,2333.229,466
2011-12-06,sh.000001,2326.66,2331.892,2310.155,2325.905,4591707700,42625594847.0,0.002563,-0.313899,2326.66,2331.892,2310.155,2325.905,467
2011-12-07,sh.000001,2325.562,2339.847,2317.814,2332.73,4157030600,39767464564.0,0.002321,0.293432,2325.562,2339.847,2317.814,2332.73,468
2011-12-08,sh.000001,2329.911,2346.654,2302.642,2329.82,5147352000,49219492855.0,0.002874,-0.124743,2329.911,2346.654,2302.642,2329.82,469
2011-12-09,sh.000001,2315.513,2331.259,2309.457,2315.27,3998855900,38885194063.0,0.002232,-0.624514,2315.513,2331.259,2309.457,2315.27,470
2011-12-12,sh.000001,2312.151,2315.811,2290.264,2291.545,3963257800,36516062508.0,0.002211,-1.024723,2312.151,2315.811,2290.264,2291.545,471
2011-12-13,sh.000001,2283.223,2285.814,2245.868,2248.59,5862747800,51593326502.0,0.00327,-1.874492,2283.223,2285.814,2245.868,2248.59,472
2011-12-14,sh.000001,2241.387,2256.744,2224.725,2228.525,4407982200,38621178573.0,0.002458,-0.892345,2241.387,2256.744,2224.725,2228.525,473
2011-12-15,sh.000001,2215.792,2216.909,2179.467,2180.895,5671218600,47305130387.0,0.003162,-2.137283,2215.792,2216.909,2179.467,2180.895,474
2011-12-16,sh.000001,2179.509,2225.538,2170.748,2224.84,5726590300,50568967344.0,0.003193,2.015002,2179.509,2225.538,2170.748,2224.84,475
2011-12-19,sh.000001,2208.071,2221.448,2164.887,2218.235,5781846400,49717681273.0,0.003224,-0.296874,2208.071,2221.448,2164.887,2218.235,476
2011-12-20,sh.000001,2209.699,2239.859,2206.519,2215.93,5276111300,46564369385.0,0.00294,-0.103919,2209.699,2239.859,2206.519,2215.93,477
2011-12-21,sh.000001,2230.18,2237.466,2188.71,2191.148,5087726200,46125532122.0,0.002835,-1.118356,2230.18,2237.466,2188.71,2191.148,478
2011-12-22,sh.000001,2178.572,2201.587,2149.423,2186.297,5898611700,48023419137.0,0.003287,-0.221383,2178.572,2201.587,2149.423,2186.297,479
2011-12-23,sh.000001,2183.911,2219.786,2178.141,2204.784,5242132500,43478781866.0,0.00292,0.845576,2183.911,2219.786,2178.141,2204.784,480
2011-12-26,sh.000001,2193.659,2213.453,2186.07,2190.11,4361366300,36403330902.0,0.002428,-0.665545,2193.659,2213.453,2186.07,2190.11,481
2011-12-27,sh.000001,2186.709,2196.973,2162.723,2166.205,4571217900,37400003602.0,0.002545,-1.091499,2186.709,2196.973,2162.723,2166.205,482
2011-12-28,sh.000001,2157.65,2170.672,2134.017,2170.013,4963343500,40007345153.0,0.002763,0.175785,2157.65,2170.672,2134.017,2170.013,483
2011-12-29,sh.000001,2161.184,2181.955,2157.115,2173.561,4474920000,35989659760.0,0.00249,0.163506,2161.184,2181.955,2157.115,2173.561,484
2011-12-30,sh.000001,2177.517,2200.988,2177.517,2199.417,5194383800,42698835641.0,0.002889,1.189567,2177.517,2200.988,2177.517,2199.417,485
2012-01-04,sh.000001,2211.995,2217.52,2168.644,2169.39,4924553700,40632918502.0,0.002748,-1.36523,2211.995,2217.52,2168.644,2169.39,486
2012-01-05,sh.000001,2160.898,2183.404,2145.556,2148.452,5874344700,46603965319.0,0.003277,-0.965156,2160.898,2183.404,2145.556,2148.452,487
2012-01-06,sh.000001,2148.147,2164.322,2132.626,2163.395,5058305400,39465868149.0,0.002819,0.69553,2148.147,2164.322,2132.626,2163.395,488
2012-01-09,sh.000001,2164.741,2226.218,2148.453,2225.89,7675983900,62132963469.0,0.004277,2.888741,2164.741,2226.218,2148.453,2225.89,489
2012-01-10,sh.000001,2221.832,2288.628,2218.275,2285.744,10958541500,91045903375.0,0.006106,2.688992,2221.832,2288.628,2218.275,2285.744,490
2012-01-11,sh.000001,2282.913,2290.644,2265.185,2276.046,8444178100,74264707833.0,0.004705,-0.424282,2282.913,2290.644,2265.185,2276.046,491
2012-01-12,sh.000001,2268.739,2295.224,2265.256,2275.01,7156999400,63945881028.0,0.003988,-0.045513,2268.739,2295.224,2265.256,2275.01,492
2012-01-13,sh.000001,2277.08,2281.532,2225.736,2244.58,7147432200,64030025661.0,0.003983,-1.337574,2277.08,2281.532,2225.736,2244.58,493
2012-01-16,sh.000001,2230.433,2241.259,2206.045,2206.193,4585952200,42884791206.0,0.002548,-1.710207,2230.433,2241.259,2206.045,2206.193,494
2012-01-17,sh.000001,2206.531,2298.376,2196.117,2298.376,8780356000,77406846620.0,0.004878,4.178368,2206.531,2298.376,2196.117,2298.376,495
2012-01-18,sh.000001,2298.834,2311.579,2257.898,2266.384,8994042200,80655237044.0,0.00499,-1.391937,2298.834,2311.579,2257.898,2266.384,496
2012-01-19,sh.000001,2266.076,2305.707,2259.337,2296.075,7249886100,63886737692.0,0.004023,1.310057,2266.076,2305.707,2259.337,2296.075,497
2012-01-20,sh.000001,2300.5,2322.891,2293.893,2319.118,6992275300,62906415725.0,0.00388,1.003581,2300.5,2322.891,2293.893,2319.118,498
2012-01-30,sh.000001,2324.493,2324.493,2284.291,2285.038,5841368700,51868459382.0,0.00324,-1.469517,2324.493,2324.493,2284.291,2285.038,499
2012-01-31,sh.000001,2285.954,2296.384,2277.056,2292.61,4873832500,43777519937.0,0.002704,0.331374,2285.954,2296.384,2277.056,2292.61,500
