GameRound, P1_choice, P1_score, P2_choice, P2_score, GameValue
194,None,91,0,297,182
195,0,91,None,298,182
195,None,91,0,299,182
196,0,91,None,300,182
196,None,91,0,301,182
197,0,91,None,302,182
197,None,91,0,303,182
198,0,91,None,304,182
198,None,91,0,305,182
199,0,91,None,306,182
199,None,91,0,307,182
200,1,92,None,307,183
200,None,92,1,308,184
201,0,92,None,309,184
201,None,92,0,310,184
202,1,93,None,310,185
202,None,93,1,311,186
203,0,93,None,312,186
203,None,93,0,313,186
204,1,94,None,313,187
204,None,94,1,314,188
205,1,95,None,314,189
205,None,95,1,315,190
206,0,95,None,316,190
206,None,95,0,317,190
207,1,96,None,317,191
207,None,96,1,318,192
208,1,97,None,318,193
208,None,97,1,319,194
209,0,97,None,320,194
209,None,97,0,321,194
210,1,98,None,321,195
210,None,98,1,322,196
211,1,99,None,322,197
211,None,99,1,323,198
212,0,99,None,324,198
212,None,99,0,325,198
213,1,100,None,325,199
213,None,100,1,326,200
214,0,100,None,327,200
214,None,100,0,328,200
215,0,100,None,329,200
215,None,100,0,330,200
216,1,101,None,330,201
216,None,101,1,331,202
217,0,101,None,332,202
217,None,101,0,333,202
218,1,102,None,333,203
218,None,102,1,334,204
219,1,103,None,334,205
219,None,103,1,335,206
220,0,103,None,336,206
220,None,103,0,337,206
221,0,103,None,338,206
221,None,103,0,339,206
222,1,104,None,339,207
222,None,104,1,340,208
223,0,104,None,341,208
223,None,104,0,342,208
224,0,104,None,343,208
224,None,104,0,344,208
225,0,104,None,345,208
225,None,104,0,346,208
226,1,105,None,346,209
226,None,105,1,347,210
227,0,105,None,348,210
227,None,105,0,349,210
228,0,105,None,350,210
228,None,105,0,351,210
229,1,106,None,351,211
229,None,106,1,352,212
230,0,106,None,353,212
230,None,106,0,354,212
231,1,107,None,354,213
231,None,107,1,355,214
232,1,108,None,355,215
232,None,108,1,356,216
233,1,109,None,356,217
233,None,109,1,357,218
234,0,109,None,358,218
234,None,109,0,359,218
235,1,110,None,359,219
235,None,110,1,360,220
236,1,111,None,360,221
236,None,111,1,361,222
237,0,111,None,362,222
237,None,111,0,363,222
238,1,112,None,363,223
238,None,112,1,364,224
239,0,112,None,365,224
239,None,112,0,366,224
240,0,112,None,367,224
240,None,112,0,368,224
241,1,113,None,368,225
241,None,113,1,369,226
242,1,114,None,369,227
242,None,114,1,370,228
243,1,115,None,370,229
243,None,115,1,371,230
244,1,116,None,371,231
244,None,116,1,372,232
245,0,116,None,373,232
245,None,116,0,374,232
246,1,117,None,374,233
